Team,3P,3PA,2P,2PA,ORB,DRB,TRB,SEASON
Atlanta Hawks*,805,2416,1918,3651,661,2237,2898,2019-20
Atlanta Hawks*,1067,3034,2325,4490,955,2825,3780,2018-19
Atlanta Hawks*,895,2402,2042,3879,760,2525,3285,2020-21 
Boston Celtics*,979,2618,2006,3783,765,2421,3186,2020-21 
Boston Celtics*,905,2487,2066,3961,768,2549,3317,2019-20
Boston Celtics*,1032,2829,2419,4594,804,2849,3653,2018-19
Brooklyn Nets*,1020,2600,2086,3689,640,2559,3199,2020-21 
Brooklyn Nets*,941,2746,1967,3752,766,2683,3449,2019-20
Brooklyn Nets*,1047,2965,2254,4393,900,2919,3819,2018-19
Charlotte Hornets*,985,2666,1890,3658,762,2389,3151,2020-21 
Charlotte Hornets*,785,2231,1640,3355,715,2066,2781,2019-20
Charlotte Hornets*,977,2783,2320,4579,814,2778,3592,2018-19
Chicago Bulls*,904,2446,2131,3934,693,2544,3237,2020-21 
Chicago Bulls*,793,2282,1780,3480,680,2041,2721,2019-20
Chicago Bulls*,745,2123,2521,5082,718,2799,3517,2018-19
Cleveland Cavaliers*,720,2141,2058,4034,751,2327,3078,2020-21 
Cleveland Cavaliers*,727,2070,1892,3645,704,2172,2876,2019-20
Cleveland Cavaliers*,847,2388,2342,4796,879,2619,3498,2018-19
Dallas Mavericks*,1022,3002,2160,4120,832,2884,3716,2018-19
Dallas Mavericks*,994,2744,1964,3543,657,2463,3120,2020-21 
Dallas Mavericks*,1136,3095,1988,3677,791,2729,3520,2019-20
Denver Nuggets*,927,2462,2187,3960,758,2442,3200,2020-21 
Denver Nuggets*,801,2234,2268,4254,786,2436,3222,2019-20
Denver Nuggets*,903,2571,2536,4813,972,2832,3804,2018-19
Detroit Pistons*,832,2370,1951,3792,694,2381,3075,2020-21 
Detroit Pistons*,791,2157,1804,3501,644,2109,2753,2019-20
Detroit Pistons*,993,2854,2192,4384,936,2752,3688,2018-19
