Team,HEIGHT,WIN,LOSS,SEASON
Atlanta Hawks*,6.7,29,53,2018-19
Boston Celtics*,6.6,49,33,2018-19
Brooklyn Nets*,6.7,42,40,2018-19
Charlotte Hornets*,6.6,39,43,2018-19
Chicago Bulls*,6.7,22,60,2018-19
Cleveland Cavaliers*,6.70,19,63,2018-19
Dallas Mavericks*,6.70,33,49,2018-19
Denver Nuggets*,6.70,54,28,2018-19
Detroit Pistons*,6.6,41,41,2018-19
Golden State Warriors*,6.7,57,25,2018-19
Houston Rockets*,6.7,53,29,2018-19
Indiana Pacers*,6.7,48,34,2018-19
Los Angeles Clippers*,6.6,48,34,2018-19
Los Angeles Lakers*,6.7,37,45,2018-19
Memphis Grizzlies*,6.7,33,49,2018-19
Miami Heat*,6.6,39,43,2018-19
Milwaukee Bucks*,6.7,60,22,2018-19
Minnesota Timberwolves*,6.7,36,46,2018-19
New Orleans Pelicans*,6.6,33,49,2018-19
New York Knicks*,6.7,17,65,2018-19
Oklahoma City Thunder*,6.6,49,33,2018-19
Orlando Magic*,6.7,42,40,2018-19
Philadelphia 76ers*,6.7,51,31,2018-19
Phoenix Suns*,6.7,19,63,2018-19
Portland Trail Blazers*,6.7,53,29,2018-19
Sacramento Kings*,6.7,39,43,2018-19
San Antonio Spurs*,6.7,48,34,2018-19
Toronto Raptors*,6.6,58,24,2018-19
Utah Jazz*,6.6,50,32,2018-19
Washington Wizards*,6.8,32,50,2018-19
Atlanta Hawks*,6.7,20,47,2019-20
Boston Celtics*,6.5,48,24,2019-20
Brooklyn Nets*,6.7,35,37,2019-20
Charlotte Hornets*,6.6,23,42,2019-20
Chicago Bulls*,6.7,22,43,2019-20
Cleveland Cavaliers*,6.5,19,46,2019-20
Dallas Mavericks*,6.6,43,32,2019-20
Denver Nuggets*,6.7,46,27,2019-20
Detroit Pistons*,6.5,20,46,2019-20
Golden State Warriors*,6.6,15,50,2019-20
Houston Rockets*,6.6,44,28,2019-20
Indiana Pacers*,6.6,45,28,2019-20
Los Angeles Clippers*,6.5,49,23,2019-20
Los Angeles Lakers*,6.6,52,19,2019-20
Memphis Grizzlies*,6.6,34,39,2019-20
Miami Heat*,6.6,44,29,2019-20
Milwaukee Bucks*,6.7,56,17,2019-20
Minnesota Timberwolves*,6.6,19,45,2019-20
New Orleans Pelicans*,6.6,30,42,2019-20
New York Knicks*,6.6,21,45,2019-20
Oklahoma City Thunder*,6.6,44,28,2019-20
Orlando Magic*,6.6,33,40,2019-20
Philadelphia 76ers*,6.6,43,30,2019-20
Phoenix Suns*,6.6,34,39,2019-20
Portland Trail Blazers*,6.7,35,39,2019-20
Sacramento Kings*,6.7,31,41,2019-20
San Antonio Spurs*,6.6,32,39,2019-20
Toronto Raptors*,6.6,53,19,2019-20
Utah Jazz*,6.5,44,28,2019-20
Washington Wizards*,6.5,25,47,2019-20
Atlanta Hawks*,6.6,41,31,2020-21 
Boston Celtics*,6.4,36,36,2020-21 
Brooklyn Nets*,6.6,48,24,2020-21 
Charlotte Hornets*,6.6,33,39,2020-21 
Chicago Bulls*,6.7,31,41,2020-21 
Cleveland Cavaliers*,6.6,22,50,2020-21 
Dallas Mavericks*,6.7,42,30,2020-21 
Denver Nuggets*,6.6,47,25,2020-21 
Detroit Pistons*,6.6,20,52,2020-21 
Golden State Warriors*,6.6,39,33,2020-21 
Houston Rockets*,6.5,17,55,2020-21 
Indiana Pacers*,6.5,34,38,2020-21 
Los Angeles Clippers*,6.6,47,25,2020-21 
Los Angeles Lakers*,6.6,42,30,2020-21 
Memphis Grizzlies*,6.6,38,34,2020-21 
Miami Heat*,6.6,40,32,2020-21 
Milwaukee Bucks*,6.6,46,26,2020-21 
Minnesota Timberwolves*,6.6,23,49,2020-21 
New Orleans Pelicans*,6.6,31,41,2020-21 
New York Knicks*,6.6,41,31,2020-21 
Oklahoma City Thunder*,6.6,22,50,2020-21 
Orlando Magic*,6.6,21,51,2020-21 
Philadelphia 76ers*,6.7,49,23,2020-21 
Phoenix Suns*,6.6,51,21,2020-21 
Portland Trail Blazers*,6.6,42,30,2020-21 
Sacramento Kings*,6.6,31,41,2020-21 
San Antonio Spurs*,6.6,33,39,2020-21 
Toronto Raptors*,6.5,27,45,2020-21 
Utah Jazz*,6.5,52,20,2020-21 
Washington Wizards*,6.6,34,38,2020-21 
