Team,HEIGHT,WIN,LOSS,SEASON
Atlanta Hawks*,6.7,29,53,2018
Atlanta Hawks*,6.7,20,47,2019
Atlanta Hawks*,6.6,41,31,2020
Boston Celtics*,6.6,49,33,2018
Boston Celtics*,6.5,48,24,2019
Boston Celtics*,6.4,36,36,2020
Brooklyn Nets*,6.7,42,40,2018
Brooklyn Nets*,6.7,35,37,2019
Brooklyn Nets*,6.6,48,24,2020
Charlotte Hornets*,6.6,39,43,2018
Charlotte Hornets*,6.6,23,42,2019
Charlotte Hornets*,6.6,33,39,2020
Chicago Bulls*,6.7,22,60,2018
Chicago Bulls*,6.7,22,43,2019
Chicago Bulls*,6.7,31,41,2020
Cleveland Cavaliers*,6.7,19,63,2018
Cleveland Cavaliers*,6.5,19,46,2019
Cleveland Cavaliers*,6.6,22,50,2020
Dallas Mavericks*,6.7,33,49,2018
Dallas Mavericks*,6.6,43,32,2019
Dallas Mavericks*,6.7,42,30,2020
Denver Nuggets*,6.7,54,28,2018
Denver Nuggets*,6.7,46,27,2019
Denver Nuggets*,6.6,47,25,2020
Detroit Pistons*,6.6,41,41,2018
Detroit Pistons*,6.5,20,46,2019
Detroit Pistons*,6.6,20,52,2020
Golden State Warriors*,6.7,57,25,2018
Golden State Warriors*,6.6,15,50,2019
Golden State Warriors*,6.6,39,33,2020
Houston Rockets*,6.7,53,29,2018
Houston Rockets*,6.6,44,28,2019
Houston Rockets*,6.5,17,55,2020
Indiana Pacers*,6.7,48,34,2018
Indiana Pacers*,6.6,45,28,2019
Indiana Pacers*,6.5,34,38,2020
Los Angeles Clippers*,6.6,48,34,2018
Los Angeles Clippers*,6.5,49,23,2019
Los Angeles Clippers*,6.6,47,25,2020
Los Angeles Lakers*,6.7,37,45,2018
Los Angeles Lakers*,6.6,52,19,2019
Los Angeles Lakers*,6.6,42,30,2020
Memphis Grizzlies*,6.7,33,49,2018
Memphis Grizzlies*,6.6,34,39,2019
Memphis Grizzlies*,6.6,38,34,2020
Miami Heat*,6.6,39,43,2018
Miami Heat*,6.6,44,29,2019
Miami Heat*,6.6,40,32,2020
Milwaukee Bucks*,6.7,60,22,2018
Milwaukee Bucks*,6.7,56,17,2019
Milwaukee Bucks*,6.6,46,26,2020
Minnesota Timberwolves*,6.7,36,46,2018
Minnesota Timberwolves*,6.6,19,45,2019
Minnesota Timberwolves*,6.6,23,49,2020
New Orleans Pelicans*,6.6,33,49,2018
New Orleans Pelicans*,6.6,30,42,2019
New Orleans Pelicans*,6.6,31,41,2020
New York Knicks*,6.7,17,65,2018
New York Knicks*,6.6,21,45,2019
New York Knicks*,6.6,41,31,2020
Oklahoma City Thunder*,6.6,49,33,2018
Oklahoma City Thunder*,6.6,44,28,2019
Oklahoma City Thunder*,6.6,22,50,2020
Orlando Magic*,6.7,42,40,2018
Orlando Magic*,6.6,33,40,2019
Orlando Magic*,6.6,21,51,2020
Philadelphia 76ers*,6.7,51,31,2018
Philadelphia 76ers*,6.6,43,30,2019
Philadelphia 76ers*,6.7,49,23,2020
Phoenix Suns*,6.7,19,63,2018
Phoenix Suns*,6.6,34,39,2019
Phoenix Suns*,6.6,51,21,2020
Portland Trail Blazers*,6.7,53,29,2018
Portland Trail Blazers*,6.7,35,39,2019
Portland Trail Blazers*,6.6,42,30,2020
Sacramento Kings*,6.7,39,43,2018
Sacramento Kings*,6.7,31,41,2019
Sacramento Kings*,6.6,31,41,2020
San Antonio Spurs*,6.7,48,34,2018
San Antonio Spurs*,6.6,32,39,2019
San Antonio Spurs*,6.6,33,39,2020
Toronto Raptors*,6.6,58,24,2018
Toronto Raptors*,6.6,53,19,2019
Toronto Raptors*,6.5,27,45,2020
Utah Jazz*,6.6,50,32,2018
Utah Jazz*,6.5,44,28,2019
Utah Jazz*,6.5,52,20,2020
Washington Wizards*,6.8,32,50,2018
Washington Wizards*,6.5,25,47,2019
Washington Wizards*,6.6,34,38,2020
